TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Sullivan Lakeshore,Eastern Washington,8.2,roundtrip,250,2840,3.4,5,48.8404196,-117.2851705,9/5/20,13,https://www.wta.org/go-hiking/hikes/sullivan-lake
Sulphur Creek,North Cascades,3.6,roundtrip,900,2250,3.57,7,48.24983333,-121.1936167,9/6/20,37,https://www.wta.org/go-hiking/hikes/sulphur-creek
Sulphur Moraine,North Cascades,,,,,2.67,3,,,,0,https://www.wta.org/go-hiking/hikes/sulphur-moraine
Sulphur Mountain,North Cascades,10,roundtrip,4200,6000,3.4,5,48.244667,-121.188833,3/3/21,60,https://www.wta.org/go-hiking/hikes/sulphur-mountain
Sultan Gorge,Central Cascades,,,,,4,1,47.9793157,-121.6908772,6/11/17,2,https://www.wta.org/go-hiking/hikes/sultan-gorge
Sultan River Canyon Trail,Central Cascades,4,roundtrip,900,1700,3.44,9,47.97249909,-121.6801286,3/13/21,71,https://www.wta.org/go-hiking/hikes/sultan-river-canyon-trail
Sumas Mountain - Gold Mine Trail,Puget Sound and Islands,,,,,3.4,5,,,1/21/21,73,https://www.wta.org/go-hiking/hikes/gold-mine-trail
Summer Blossom,North Cascades,,,,,3,4,48.119652,-120.30319,8/28/20,12,https://www.wta.org/go-hiking/hikes/summer-blossom
Summerland - Panhandle Gap,Mount Rainier Area,12,roundtrip,2950,6800,4.6,47,46.88836667,-121.6110333,11/2/20,563,https://www.wta.org/go-hiking/hikes/summerland-panhandle-gap
Summit,Central Cascades,,,,,3.25,4,,,7/28/16,24,https://www.wta.org/go-hiking/hikes/summit
Summit Lake,Mount Rainier Area,6.1,roundtrip,1300,5800,4.45,64,47.03186667,-121.8268667,1/18/21,739,https://www.wta.org/go-hiking/hikes/summit-lake
Summit Springs,South Cascades,5.6,roundtrip,1738,3219,3,6,,,2/9/20,7,https://www.wta.org/go-hiking/hikes/summit-springs
Summit Trail,Issaquah Alps,,,,,4.4,5,47.50451156,-122.0468777,1/16/21,32,https://www.wta.org/go-hiking/hikes/summit-trail
Sumner Link Trail,Puget Sound and Islands,5.5,one-way,,,3,1,47.20072907,-122.2531375,12/9/20,16,https://www.wta.org/go-hiking/hikes/sumner-link-trail
Sun Lakes-Dry Falls State Park - Deep Lake,Central Washington,15,trails,,,4,1,47.59693845,-119.3988776,12/27/20,19,https://www.wta.org/go-hiking/hikes/caribou-trail-sun-lakes-dry-falls
Sun Lakes-Dry Falls State Park - Park Lake Side Canyon,Central Washington,6,roundtrip,350,1500,3.5,4,47.5854899,-119.3556542,4/25/15,3,https://www.wta.org/go-hiking/hikes/park-lake-side-canyon
Sun Lakes-Dry Falls State Park - Umatilla Rock via Monument Coulee,Central Washington,5,roundtrip,100,,3.4,5,47.5854899,-119.3556542,3/27/21,41,https://www.wta.org/go-hiking/hikes/umatilla-rock-monument-coulee
Sun Mountain Snowshoe Loop,North Cascades,2.8,roundtrip,686,2877,0,0,48.47656297,-120.2559614,,0,https://www.wta.org/go-hiking/hikes/sun-mountain-snowshoe-loop
Sun Mountain Trails,North Cascades,68.4,trails,,,3.67,3,48.46334635,-120.2610469,3/24/21,23,https://www.wta.org/go-hiking/hikes/sun-mountain-trails
Sun Top Snowshoe,Mount Rainier Area,10,roundtrip,3000,5280,3,3,47.03714046,-121.5956497,3/6/21,44,https://www.wta.org/go-hiking/hikes/sun-top-snowshoe
Suncadia Trail,Snoqualmie Region,,,,,3,1,,,5/25/19,4,https://www.wta.org/go-hiking/hikes/suncadia-trail
Sunday Lake,Snoqualmie Region,6.2,roundtrip,355,1900,2.73,11,47.64671667,-121.59555,2/20/21,60,https://www.wta.org/go-hiking/hikes/sunday-lake
Sundown Pass,Olympic Peninsula,,,,,3,5,47.48390312,-123.455359,7/19/18,5,https://www.wta.org/go-hiking/hikes/sundown-pass
Sunnybrook Meadows,Olympic Peninsula,12,roundtrip,4000,5650,3,5,47.7365,-123.1688333,6/29/20,7,https://www.wta.org/go-hiking/hikes/sunnybrook-meadows
Sunrise Lake,North Cascades,14,roundtrip,3600,7200,3,1,48.1751,-120.2613,10/4/20,31,https://www.wta.org/go-hiking/hikes/sunrise-lake-chelan-sawtooths
Sunrise Lake,Mount Rainier Area,1.5,roundtrip,425,6150,3.82,11,46.91755,-121.5878,9/3/20,14,https://www.wta.org/go-hiking/hikes/sunrise-lake
Sunrise Nature,Mount Rainier Area,,,,,3.8,5,46.77302532,-121.3848495,8/9/20,19,https://www.wta.org/go-hiking/hikes/sunrise-nature
Sunrise Peak,North Cascades,,,,,0,0,,,8/5/16,1,https://www.wta.org/go-hiking/hikes/sunrise-peak-pasayten
Sunrise Peak,North Cascades,,,,,0,0,,,7/21/18,2,https://www.wta.org/go-hiking/hikes/sunrise-peak-1
Sunrise Peak,South Cascades,3,roundtrip,1400,5892,3.57,7,46.33538333,-121.7433833,10/7/20,30,https://www.wta.org/go-hiking/hikes/sunrise-peak
Sunrise Point Trail,Olympic Peninsula,0.2,roundtrip,,,0,0,47.97,-123.495,9/21/20,12,https://www.wta.org/go-hiking/hikes/sunrise-point-trail
Sunrise to Carbon River Traverse,Mount Rainier Area,13.7,one-way,5200,6700,4,1,,,7/12/20,5,https://www.wta.org/go-hiking/hikes/sunrise-to-carbon-river-traverse
Sunrise to Mystic Lake,Mount Rainier Area,,,,,0,0,,,8/11/20,6,https://www.wta.org/go-hiking/hikes/sunrise-to-mystic-lake
Sunrise to Mystic Lake,Mount Rainier Area,18,roundtrip,1870,6800,3.12,8,46.9139052,-121.642342,7/17/20,46,https://www.wta.org/go-hiking/hikes/mystic-lake
Sunset Hill Park,Puget Sound and Islands,0.25,trails,,,1,1,47.68319501,-122.400527,2/22/21,5,https://www.wta.org/go-hiking/hikes/sunset-hill-park
Sunset Mine,Central Cascades,,,,,3,2,47.85924576,-121.4648438,12/23/20,16,https://www.wta.org/go-hiking/hikes/sunset-mine
Sunset Park and Golden Lakes,Mount Rainier Area,,,,,3.67,6,46.93057209,-121.867218,9/8/20,19,https://www.wta.org/go-hiking/hikes/sunset-park-and-golden-lakes
Sunshine Trail,South Cascades,1.5,roundtrip,1600,3400,3.33,3,45.87471225,-121.9846344,8/21/10,1,https://www.wta.org/go-hiking/hikes/sunshine-trail-198
Suntop Lookout,Mount Rainier Area,2.1,roundtrip,1100,5400,3.1,10,47.00882103,-121.5326393,12/28/20,181,https://www.wta.org/go-hiking/hikes/sun-top
Surprise Creek,Issaquah Alps,0.6,one-way,,,2.67,3,47.54012043,-122.09512,3/9/21,42,https://www.wta.org/go-hiking/hikes/surprise-creek
Surprise Lake,Mount Rainier Area,4,roundtrip,,4406,0,0,47.02362624,-121.8608665,5/9/20,14,https://www.wta.org/go-hiking/hikes/surprise-lake-3
Surprise Lake,South Cascades,13,roundtrip,1505,5260,3.45,11,46.49296367,-121.3068295,8/15/20,44,https://www.wta.org/go-hiking/hikes/surprise-lake-2
Surprise Lake Snowshoe,Central Cascades,8,roundtrip,2300,4500,3,6,47.7078,-121.1567,1/23/21,89,https://www.wta.org/go-hiking/hikes/surprise-lake-snowshoe
Surprise Mountain,Central Cascades,,,,6330,4.5,2,47.70650229,-121.1499879,8/17/20,34,https://www.wta.org/go-hiking/hikes/surprise-mountain
Surprise and Glacier Lakes,Central Cascades,11,roundtrip,2700,4900,3.36,39,47.7078,-121.1567,1/22/21,448,https://www.wta.org/go-hiking/hikes/surprise-lake-1
Surveyors Lake Snowshoe,Snoqualmie Region,,,,,4,1,47.39069222,-121.3964238,3/8/21,4,https://www.wta.org/go-hiking/hikes/surveyors-lake-snowshoe
Swakane Canyon,Central Washington,6,roundtrip,1470,2980,3.36,11,47.564961,-120.3206081,7/2/20,64,https://www.wta.org/go-hiking/hikes/swakane-canyon
Swakane Peak,Central Washington,7.4,roundtrip,2787,4297,0,0,47.56405217,-120.3332348,2/16/20,12,https://www.wta.org/go-hiking/hikes/swakane-peak
Swallow Caves,Central Cascades,,,,,3,4,,,,0,https://www.wta.org/go-hiking/hikes/swallow-caves
Swamp Creek,Central Cascades,,,,,3,3,,,6/30/07,1,https://www.wta.org/go-hiking/hikes/swamp-creek
Swamp Lake,Mount Rainier Area,7.2,roundtrip,,4800,3,6,46.83222191,-121.3680663,8/30/20,33,https://www.wta.org/go-hiking/hikes/swamp-lake
Swamp Trail,Issaquah Alps,1,roundtrip,75,520,3.67,6,47.52959502,-121.9960998,3/6/21,59,https://www.wta.org/go-hiking/hikes/swamp-trail
Swan Creek Park,Puget Sound and Islands,4.8,roundtrip,325,,3.73,11,47.22679625,-122.3890686,3/28/21,79,https://www.wta.org/go-hiking/hikes/swan-creek-park
Swan Lake,Eastern Washington,3.1,roundtrip,360,3960,3,4,48.515533,-118.835633,7/25/20,7,https://www.wta.org/go-hiking/hikes/swan-lake
Swanson Lakes Wildlife Area,Eastern Washington,,,310,2412,0,0,47.62141364,-118.5382619,3/20/20,2,https://www.wta.org/go-hiking/hikes/swanson-lakes-wildlife-area
Swauk Forest Discovery Trail,Central Cascades,2.45,roundtrip,660,4530,3.8,10,47.3354012,-120.5789662,11/7/20,60,https://www.wta.org/go-hiking/hikes/swauk-forest-discovery-trail
Swauk Forest Discovery Trail  Snowshoe,Central Cascades,3,roundtrip,500,4550,1.5,2,47.33451837,-120.5808306,3/7/20,11,https://www.wta.org/go-hiking/hikes/swauk-forest-discovery-trail-snowshoe
Swauk Meadows Snowshoe,Central Cascades,6.7,roundtrip,,,2.5,2,47.33147169,-120.6119227,3/6/21,10,https://www.wta.org/go-hiking/hikes/swauk-meadows-snowshoe
Swauk Ridge,Central Cascades,5,roundtrip,1700,4205,5,1,,,12/6/10,1,https://www.wta.org/go-hiking/hikes/swauk-ridge-4205
Sweat Creek Basin Trail,Eastern Washington,,,,,3.5,2,,,5/29/10,1,https://www.wta.org/go-hiking/hikes/sweat-creek-basin-trail-no.-310-a
Sweet Chariot,North Cascades,,,,,0,0,48.42716731,-121.3700438,7/4/12,1,https://www.wta.org/go-hiking/hikes/sweet-chariot
Sweet Creek Falls Interpretive Trail,Eastern Washington,1,roundtrip,,,4.75,4,48.82416308,-117.3974788,7/5/19,11,https://www.wta.org/go-hiking/hikes/sweet-creek-falls-interpretive-trail
Sweetgrass Butte,North Cascades,1.5,roundtrip,,,0,0,,,8/1/20,4,https://www.wta.org/go-hiking/hikes/sweetgrass-butte
Swift Creek,North Cascades,16,roundtrip,2700,3930,2.75,4,48.76483493,-121.6698718,11/6/20,21,https://www.wta.org/go-hiking/hikes/swift-creek
Swift Creek (#244),South Cascades,4.8,roundtrip,1000,3500,2.33,3,,,2/11/20,7,https://www.wta.org/go-hiking/hikes/swift-creek-244
Swinomish Channel Loop Trail,Puget Sound and Islands,,,,,0,0,,,6/24/20,2,https://www.wta.org/go-hiking/hikes/swinomish-channel-loop-trail
Switchback,Olympic Peninsula,1.2,roundtrip,500,5200,3.25,8,47.98657789,-123.4608924,10/3/20,34,https://www.wta.org/go-hiking/hikes/switchback
Swofford Pond,South Cascades,3.8,roundtrip,140,922,0,0,46.49989726,-122.3890249,8/25/20,12,https://www.wta.org/go-hiking/hikes/swofford-pond
Sycamore Access Trail,Issaquah Alps,3.5,roundtrip,1200,1400,4,1,,,3/26/21,14,https://www.wta.org/go-hiking/hikes/sycamore-access-trail
Table Mountain,Southwest Washington,16,roundtrip,3350,3417,3.8,5,45.64788837,-121.9794846,8/9/20,33,https://www.wta.org/go-hiking/hikes/table-mountain-3
Table Mountain,North Cascades,2.6,roundtrip,725,5700,4.42,12,48.84684168,-121.6925594,3/11/21,139,https://www.wta.org/go-hiking/hikes/table-mountain
Table Mountain,Central Cascades,,,,,3.25,4,47.3022,-121.547,7/24/20,7,https://www.wta.org/go-hiking/hikes/table-mountain-2
Table Rock,Eastern Washington,1.2,roundtrip,400,6250,4.5,2,46.03041856,-117.9112753,7/13/19,5,https://www.wta.org/go-hiking/hikes/table-rock-squaw-peak
Tacoma Nature Center Interpretive Walks,Puget Sound and Islands,2.5,trails,113,408,3,6,47.24136611,-122.4920654,8/7/20,27,https://www.wta.org/go-hiking/hikes/the-tacoma-nature-center
Tacoma Pass to Government Meadows,Central Cascades,16.4,one-way,3000,5700,0,0,,,9/18/19,3,https://www.wta.org/go-hiking/hikes/tacoma-pass-to-government-meadows
Tacoma Peak Trail,Eastern Washington,10,roundtrip,2000,5000,0,0,48.37111111,-117.3722222,2/15/18,1,https://www.wta.org/go-hiking/hikes/batey-bould-tacoma-creek-trail
Tahnemus,South Cascades,,,,,3.25,4,,,10/30/08,2,https://www.wta.org/go-hiking/hikes/tahnemus
Tahoma Creek,Mount Rainier Area,,,,,4,6,46.78378183,-121.8871307,7/21/20,6,https://www.wta.org/go-hiking/hikes/tahoma-creek
Tahoma Creek Suspension Bridge - Emerald Ridge Loop,Mount Rainier Area,14.2,roundtrip,3100,5600,3.12,8,46.8379564,-121.89704,8/28/20,78,https://www.wta.org/go-hiking/hikes/emerald-ridge
Takhlakh Lake and Takh Takh Meadow,South Cascades,3,roundtrip,500,4624,3.5,6,46.27655,-121.5991667,8/27/20,29,https://www.wta.org/go-hiking/hikes/takhlakh-loop
Talapus Lake Snowshoe,Snoqualmie Region,8.5,roundtrip,1600,3280,3,3,47.4027234,-121.5226941,3/12/21,105,https://www.wta.org/go-hiking/hikes/talapus-lake-snowshoe
Talapus and Olallie Lakes,Snoqualmie Region,6.2,roundtrip,1220,3780,3.92,109,47.40125405,-121.5183592,3/26/21,1497,https://www.wta.org/go-hiking/hikes/talapus-and-olallie-lakes
Talus Loop,Snoqualmie Region,6,roundtrip,1400,2100,3.5,18,47.48806401,-121.7231727,3/28/21,190,https://www.wta.org/go-hiking/hikes/talus-loop
Talus Rock Trail,Issaquah Alps,1.2,roundtrip,,,3.17,6,47.51975935,-121.9706997,3/4/21,96,https://www.wta.org/go-hiking/hikes/talus-rock-trail
Tam O'Shanter - Viewpoint Open Space Trails,Puget Sound and Islands,1.5,roundtrip,150,320,0,0,47.62441753,-122.1076941,2/27/21,9,https://www.wta.org/go-hiking/hikes/tam-oshanter-viewpoint-open-space-trails
Tamanawas Falls,Southwest Washington,,,,,0,0,,,9/6/18,2,https://www.wta.org/go-hiking/hikes/tamanawas-falls
Tamanos Mountain,Mount Rainier Area,10,roundtrip,3080,6790,3.8,5,46.89078331,-121.5967548,11/2/20,40,https://www.wta.org/go-hiking/hikes/tamanos-mountain
Tamanous Trail,Southwest Washington,1.2,roundtrip,120,200,1.5,2,45.65032517,-121.9326059,1/1/18,4,https://www.wta.org/go-hiking/hikes/tamanous-trail-27
Tamarack Peak,North Cascades,,,,,3.5,4,,,8/30/17,6,https://www.wta.org/go-hiking/hikes/tamarack-peak
Tammi Wilson Memorial Trail,Puget Sound and Islands,0.82,one-way,,,0,0,48.46003255,-122.3391098,8/18/16,1,https://www.wta.org/go-hiking/hikes/tammi-wilson-memorial-trail-gages-slough-trail
Taneum Lake,Snoqualmie Region,1.4,roundtrip,100,5400,0,0,47.061798,-121.0306907,6/16/20,1,https://www.wta.org/go-hiking/hikes/taneum-lake
Taneum Ridge - Fishhook Flats,Snoqualmie Region,14,roundtrip,1400,4200,3.5,4,47.11545,-120.953317,6/6/19,10,https://www.wta.org/go-hiking/hikes/taneum-ridge
Taneum Spur,Snoqualmie Region,,,,,4,4,,,5/29/99,1,https://www.wta.org/go-hiking/hikes/taneum-spur
Tank Lakes,Central Cascades,23,roundtrip,4100,5804,2.5,8,47.6649697,-121.2883,9/26/20,54,https://www.wta.org/go-hiking/hikes/tank-lakes
Tanner Landing Park,Snoqualmie Region,1,roundtrip,,520,5,2,47.48423273,-121.7639191,9/27/20,4,https://www.wta.org/go-hiking/hikes/tanner-landing-park
Tarbell Trail,Southwest Washington,24.75,roundtrip,,4120,3,4,45.7756651,-122.3378277,3/7/21,45,https://www.wta.org/go-hiking/hikes/tarbell-trail
Tatie Peak and Grasshopper Pass,North Cascades,9.4,roundtrip,1200,7386,3.33,15,48.70236667,-120.6726167,10/15/20,75,https://www.wta.org/go-hiking/hikes/grasshopper-pass
Tatoosh Buttes,North Cascades,10.2,one-way,2900,7200,3.4,5,,,8/8/20,16,https://www.wta.org/go-hiking/hikes/tatoosh-buttes
Tatoosh Lakes,South Cascades,6.6,roundtrip,3400,5750,3,6,46.7132082,-121.7160273,8/31/20,35,https://www.wta.org/go-hiking/hikes/tatoosh-lakes
Tatoosh Lookout,South Cascades,10.4,roundtrip,4100,6400,3.67,6,46.71314935,-121.7158556,10/4/20,64,https://www.wta.org/go-hiking/hikes/tatoosh-lookout
Tatoosh Ridge,South Cascades,6.2,roundtrip,2900,5775,3.73,11,46.71313464,-121.7159843,10/3/20,112,https://www.wta.org/go-hiking/hikes/tatoosh
Taylor Mountain,Issaquah Alps,30,trails,550,1100,2.42,12,47.43286564,-121.9710573,2/20/21,93,https://www.wta.org/go-hiking/hikes/taylor-mountain
Taylor Mountain - Boot Trail,Issaquah Alps,4.5,roundtrip,200,950,0,0,47.50718298,-121.8802085,3/13/21,4,https://www.wta.org/go-hiking/hikes/taylor-mountain-boot-trail
Taylor Mountain - Carey Creek Trail,Issaquah Alps,1.47,one-way,,,0,0,47.41474682,-121.925703,3/27/21,6,https://www.wta.org/go-hiking/hikes/carey-creek-taylor-mountain
Taylor Mountain - Donkey Engine Trail,Issaquah Alps,3.44,roundtrip,450,800,0,0,47.41475569,-121.9255967,5/31/20,1,https://www.wta.org/go-hiking/hikes/taylor-mountain-donkey-engine-trail
Taylor Mountain - Elk Ridge Trail,Issaquah Alps,1.6,one-way,500,1200,3,2,47.41480486,-121.9256335,11/6/20,5,https://www.wta.org/go-hiking/hikes/elk-ridge-trail
Taylor Mountain - Hermit Trail,Issaquah Alps,2.24,one-way,750,1500,0,0,47.41474315,-121.9256598,7/25/20,1,https://www.wta.org/go-hiking/hikes/taylor-mountain-hermit-trail
Taylor Mountain - Holder Creek,Issaquah Alps,1.46,one-way,400,1100,2.33,3,47.43235492,-121.9713222,9/8/20,7,https://www.wta.org/go-hiking/hikes/holder-creek
Taylor Mountain - Holder Knob,Issaquah Alps,3.28,roundtrip,500,1050,3.83,6,47.43260793,-121.9711591,3/13/21,31,https://www.wta.org/go-hiking/hikes/holder-knob
Taylor Mountain - Holder Ridge Trail,Issaquah Alps,1.57,one-way,425,900,2,1,47.43259444,-121.9708266,3/13/21,12,https://www.wta.org/go-hiking/hikes/taylor-mountain-holder-ridge-trail
Taylor Mountain - Knee Knocker Trail,Issaquah Alps,3.02,one-way,1000,1650,0,0,47.41473589,-121.9256239,7/25/20,2,https://www.wta.org/go-hiking/hikes/taylor-mountain-knee-knocker-trail
Taylor Mountain - Mount Beaver Trail,Issaquah Alps,1.84,one-way,150,800,0,0,47.41476168,-121.9256732,3/13/21,2,https://www.wta.org/go-hiking/hikes/taylor-mountain-mountain-beaver-trail
Taylor Mountain - Sherwood Trail,Issaquah Alps,5,roundtrip,250,1250,0,0,47.43264523,-121.9712234,8/22/20,3,https://www.wta.org/go-hiking/hikes/taylor-mountain-sherwood-trail
Taylor Mountain - Whiskey Still Trail,Issaquah Alps,4.66,roundtrip,600,1050,0,0,47.43282017,-121.9709069,3/13/21,8,https://www.wta.org/go-hiking/hikes/whiskey-still-trail
Taylor River - Otter Falls,Snoqualmie Region,11,roundtrip,650,1750,4.02,54,47.560885,-121.532319,3/27/21,650,https://www.wta.org/go-hiking/hikes/otter-falls-taylor-river
Teanaway Butte,Central Cascades,,,,4760,3.5,2,47.31217679,-120.9477997,3/13/21,24,https://www.wta.org/go-hiking/hikes/teanaway-butte
Teanaway Butte via Jungle Creek,Snoqualmie Region,8,roundtrip,2150,4760,0,0,47.33143533,-120.9376717,1/23/21,7,https://www.wta.org/go-hiking/hikes/teanaway-butte-via-jungle-creek
Teanaway Peak/Gene's Peak,Snoqualmie Region,,,,6779,3,4,47.389233,-120.872467,11/1/20,18,https://www.wta.org/go-hiking/hikes/teanaway-peak-genes-peak
Ted Olson Nature Preserve Trail,Puget Sound and Islands,0.6,roundtrip,,,0,0,47.669895,-122.521083,5/30/20,2,https://www.wta.org/go-hiking/hikes/ted-olson-nature-preserve-trail
Teeley Creek,South Cascades,,,,,2.75,4,,,6/9/19,9,https://www.wta.org/go-hiking/hikes/teeley-creek
Teepee Falls,North Cascades,,,,,2,1,,,6/3/11,1,https://www.wta.org/go-hiking/hikes/teepee-falls
Telford Recreation Area,Central Washington,,,,,0,0,47.6944544,-118.4076405,8/22/20,4,https://www.wta.org/go-hiking/hikes/telford-recreation-area
Ten Day,South Cascades,1.2,one-way,1800,5700,0,0,46.493,-121.3068,6/28/01,1,https://www.wta.org/go-hiking/hikes/ten-day-ridge-1134
Ten Mile,Eastern Washington,,,,,3.6,5,48.51848051,-118.7380028,5/28/12,2,https://www.wta.org/go-hiking/hikes/ten-mile-1
Teneriffe Falls,Snoqualmie Region,5.6,roundtrip,1585,2370,3.94,67,47.486866,-121.709682,3/27/21,1102,https://www.wta.org/go-hiking/hikes/teneriffe-falls
Tenmile Falls,Central Cascades,5.4,roundtrip,1300,4600,2.5,4,48.199807,-120.7745483,6/12/19,8,https://www.wta.org/go-hiking/hikes/ten-mile
Tennant Lake and Hovander Homestead Trails,Puget Sound and Islands,1,roundtrip,,,5,1,48.81894,-122.57674,8/2/20,10,https://www.wta.org/go-hiking/hikes/tennant-lake-and-hovander-homestead-trails
Terrace Creek Park,Puget Sound and Islands,2,roundtrip,80,440,5,2,47.78738321,-122.2980022,11/21/20,19,https://www.wta.org/go-hiking/hikes/terrace-creek-park
Terrace Mountain,North Cascades,5.25,roundtrip,3000,,0,0,,,10/2/20,2,https://www.wta.org/go-hiking/hikes/terrace-mountain
Terrace Trail - Newcastle,Issaquah Alps,1.3,one-way,,,0,0,47.52445336,-122.1493006,1/17/21,16,https://www.wta.org/go-hiking/hikes/terrace-trail-newcastle
Thatsit Peak,Central Cascades,,,,,3,2,,,8/19/11,2,https://www.wta.org/go-hiking/hikes/thatsit-peak
The Brothers,Olympic Peninsula,18,roundtrip,6050,6866,3.86,7,47.5997,-123.1512,11/27/20,134,https://www.wta.org/go-hiking/hikes/the-brothers
The Castle,Mount Rainier Area,,,,,4,4,46.7666069,-121.6990741,7/28/20,18,https://www.wta.org/go-hiking/hikes/the-castle
The Eaglet,North Cascades,,,,,0,0,,,3/23/14,5,https://www.wta.org/go-hiking/hikes/the-eaglet
The Enchantments,Central Cascades,18,one-way,4500,7800,4.69,117,47.52789187,-120.8206972,11/8/20,826,https://www.wta.org/go-hiking/hikes/enchantment-lakes
The King,Mount Rainier Area,,,,7012,1,2,,,12/2/08,1,https://www.wta.org/go-hiking/hikes/the-king
The Parks,North Cascades,,,,,3,4,,,1/21/06,2,https://www.wta.org/go-hiking/hikes/the-parks
The Rockies,South Cascades,,,,,3,3,,,9/7/19,3,https://www.wta.org/go-hiking/hikes/the-rockies
The Yurt,Mount Rainier Area,10.24,roundtrip,1100,4100,4,2,46.70584779,-121.9927856,3/13/21,15,https://www.wta.org/go-hiking/hikes/yurt-summer-hike
Thelma Gilmur Park,Puget Sound and Islands,1.2,roundtrip,,,0,0,47.22050083,-122.5200891,11/29/20,2,https://www.wta.org/go-hiking/hikes/thelma-gilmur-park
Third Beach,Olympic Peninsula,3.6,roundtrip,280,280,3.93,14,47.89058333,-124.5990167,2/14/21,111,https://www.wta.org/go-hiking/hikes/third-beach
Third Creek,Eastern Washington,34,roundtrip,2000,,0,0,46.0887778,-117.6276668,6/21/13,1,https://www.wta.org/go-hiking/hikes/third-creek-3100
Thirteenmile,Eastern Washington,16.5,one-way,2000,4600,2.6,5,48.481441,-118.727732,7/30/20,27,https://www.wta.org/go-hiking/hikes/thirteenmile
Thirteenmile via Bear Pot Trailhead,Eastern Washington,9.2,roundtrip,1800,4885,0,0,48.48134363,-118.7280592,6/16/20,8,https://www.wta.org/go-hiking/hikes/thirteenmile-via-bear-pot-trailhead
Thirty Mile,Eastern Washington,,,,,3.33,3,,,7/24/99,1,https://www.wta.org/go-hiking/hikes/thirty-mile
Thomas Mountain,Snoqualmie Region,8,roundtrip,3400,,4,1,47.26755537,-121.1742452,9/20/20,29,https://www.wta.org/go-hiking/hikes/thomas-mountain
"Thomas, Blue and Tombstone Lakes",South Cascades,7,roundtrip,1015,4150,2.43,7,46.005733,-121.839117,8/31/20,24,https://www.wta.org/go-hiking/hikes/thomas-lake
Thompson Creek,North Cascades,,,,,2.67,3,,,,0,https://www.wta.org/go-hiking/hikes/thompson-creek
Thompson Lake via Granite Creek Trail,Snoqualmie Region,14.2,roundtrip,3400,4200,4.22,9,47.4921,-121.6399,3/6/21,91,https://www.wta.org/go-hiking/hikes/thompson-lake-via-granite-creek-trail
Thompson Lake via Mount Defiance,Snoqualmie Region,19.8,roundtrip,,4200,3.75,4,47.42478059,-121.5834745,11/1/20,45,https://www.wta.org/go-hiking/hikes/thompson-lake
Thor and Nimbus,Central Cascades,,,,,0,0,,,8/27/20,4,https://www.wta.org/go-hiking/hikes/thor-and-nimbus
Thornton Lakes and Trappers Peak,North Cascades,10.2,roundtrip,2900,5000,4.33,24,48.65366667,-121.3241667,12/24/20,190,https://www.wta.org/go-hiking/hikes/thornton-lakes-and-trappers-peak
Thorp Lake,Snoqualmie Region,5.8,roundtrip,1260,4700,4.17,12,47.3733,-121.1582,11/1/20,89,https://www.wta.org/go-hiking/hikes/thorp-lake
Thorp Mountain Lookout via Thorp Creek,Snoqualmie Region,7.4,roundtrip,2484,5884,4.11,9,47.37325953,-121.1582186,11/8/20,101,https://www.wta.org/go-hiking/hikes/thorp-mountain-lookout-via-thorp-creek
Thorp Mountain Snowshoe,Snoqualmie Region,15,roundtrip,2800,5100,2,2,47.3725515,-121.1597297,4/9/20,2,https://www.wta.org/go-hiking/hikes/thorp-mountain-snowshoe
Thorp Mountain via Knox Creek,Snoqualmie Region,4.4,roundtrip,1734,5854,2.9,10,47.35662359,-121.1824998,11/9/20,83,https://www.wta.org/go-hiking/hikes/knox-creek
Three Brothers Mountain,Central Cascades,,,,,3,4,47.3613927,-120.8197801,6/29/20,15,https://www.wta.org/go-hiking/hikes/three-brothers-mountain
Three Corner Rock,Southwest Washington,4.4,roundtrip,800,3550,3.5,2,45.74470667,-122.0078087,10/31/20,31,https://www.wta.org/go-hiking/hikes/three-corner-rock
Three Fingers,North Cascades,15,roundtrip,4200,6854,4.53,15,48.1697222,-121.6877777,10/3/20,142,https://www.wta.org/go-hiking/hikes/three-fingers
Three Fools Creek,North Cascades,,,,,3,4,,,8/31/20,9,https://www.wta.org/go-hiking/hikes/three-fools-creek
Three Fools Pass,North Cascades,,,,,0,0,,,7/4/18,3,https://www.wta.org/go-hiking/hikes/three-fools-pass
Three Forks,Olympic Peninsula,,,,,2.75,4,47.94853973,-123.4766199,10/15/20,41,https://www.wta.org/go-hiking/hikes/three-forks-1
Three Forks,Eastern Washington,6.6,roundtrip,3100,4700,0,0,,,5/24/20,3,https://www.wta.org/go-hiking/hikes/three-forks-3133
Three Lakes,Olympic Peninsula,13.8,roundtrip,2850,3175,2.83,6,47.567617,-123.6553,9/4/20,32,https://www.wta.org/go-hiking/hikes/three-lakes
Three Lakes via Laughingwater Creek,Mount Rainier Area,13,roundtrip,2800,5000,2.5,6,46.75178,-121.557136,8/22/20,59,https://www.wta.org/go-hiking/hikes/three-lakes-via-laughingwater-creek
Three Mile Creek,North Cascades,,,,,1.6,5,,,,0,https://www.wta.org/go-hiking/hikes/three-mile-creek
Three Musketeers Ridge (7680'),Central Cascades,,,,,2.67,3,,,6/19/09,1,https://www.wta.org/go-hiking/hikes/three-musketeers-ridge-7680
